Category_name,Cat_id,Keywords,Monthly_num_search,Avg_monthly_click,Competitiveness,2024-02-29,2024-03-01,2024-03-02,2024-03-03,2024-03-04,2024-03-05,2024-03-06,2024-03-07,2024-03-08,2024-03-09,2024-03-10,2024-03-11,2024-03-12,2024-03-13,2024-03-14,2024-03-15,2024-03-16,2024-03-17,2024-03-18,2024-03-19,2024-03-20,2024-03-21,2024-03-22,2024-03-23,2024-03-24,2024-03-25,2024-03-26,2024-03-27,2024-03-28,2024-03-29
출산/육아,50000005,뉴발란스키즈바람막이,8110.0,12.6,높음,23.52112,30.0,28.59154,39.7183,27.32394,27.74647,31.40845,27.74647,27.88732,34.22535,38.4507,36.9014,37.32394,33.52112,35.77464,37.46478,41.97183,50.98591,45.6338,46.47887,33.09859,31.40845,23.66197,36.76056,57.04225,43.23943,39.57746,46.19718,31.83098,32.53521
출산/육아,50000005,페넬로페물티슈,10440.0,198.5,높음,53.38028,53.52112,52.8169,81.83098,99.57746,100.0,56.61971,52.25352,39.01408,37.32394,41.2676,81.54929,66.47887,54.50704,41.83098,33.80281,33.80281,39.43661,41.69014,34.36619,41.97183,42.95774,31.40845,26.61971,35.21126,45.49295,37.46478,44.92957,32.53521,30.42253
출산/육아,50000005,유아우비,6360.0,62.8,높음,29.29577,22.25352,18.02816,24.78873,34.92957,66.05633,39.29577,27.18309,20.98591,15.77464,16.47887,28.02816,48.59154,24.22535,14.78873,10.84507,9.57746,15.21126,22.39436,28.87323,20.42253,15.77464,21.40845,12.11267,19.7183,60.84507,73.66197,32.8169,81.97183,38.73239
출산/육아,50000005,배럴키즈래쉬가드,6840.0,93.4,높음,18.30985,20.98591,25.35211,27.60563,18.59154,20.84507,19.15492,18.16901,17.74647,28.30985,34.0845,26.61971,30.84507,33.66197,30.84507,22.39436,26.9014,38.30985,40.56338,33.80281,30.0,26.05633,30.0,27.04225,36.9014,33.66197,36.61971,32.67605,31.40845,24.92957
출산/육아,50000005,포몽드,26270.0,43.8,높음,97.21977,47.57281,38.57016,47.79346,59.84112,44.74845,46.46954,45.01323,100.0,33.53927,32.30361,40.11473,35.92233,42.98323,34.51015,34.1571,25.06619,29.61165,34.46601,31.421,34.1571,26.96381,30.45013,26.16946,28.72903,38.65842,31.64165,27.53751,26.39011,32.70079
출산/육아,50000005,하기스,38010.0,200.1,중간,46.82259,49.02912,42.49779,47.2639,69.85878,50.48543,50.75022,77.36098,68.22594,36.36363,38.74669,68.53486,97.35216,51.50044,57.76699,41.61518,31.421,49.07325,76.16946,49.69108,47.96999,65.09267,42.89496,37.06972,44.66019,85.52515,54.41306,77.75816,53.97175,46.33715
출산/육아,50000005,터닝메카드,25840.0,183.0,높음,43.51279,49.11738,48.54368,45.36628,27.27272,24.44836,27.18446,26.56663,30.80317,47.30803,51.80935,30.93556,29.92056,30.05295,27.80229,30.05295,44.70432,50.17652,28.77316,28.55251,28.81729,26.0812,30.71491,46.77846,51.36804,45.71932,42.10061,34.1571,32.52427,37.24624
출산/육아,50000005,붕어빵물티슈,4700.0,93.6,중간,9.26743,8.87025,8.34068,10.63548,9.88526,9.97352,8.56134,10.41482,6.26654,6.09002,6.9285,9.6646,8.12003,7.0609,7.54633,4.98676,4.72197,5.42806,6.9285,6.09002,6.53133,6.66372,4.81023,3.92762,5.73698,5.82524,5.3398,5.25154,3.57458,4.41306
출산/육아,50000005,임산부바지,11830.0,404.1,중간,13.45984,13.37157,14.21006,17.78464,19.37334,16.81376,18.93203,16.10767,14.69549,13.5481,16.76963,19.59399,19.10856,18.40247,18.35834,15.79876,15.62224,19.94704,19.32921,17.74051,17.25507,17.21094,17.12268,15.18093,17.47572,19.4616,19.77052,18.22594,19.41747,11.78287
출산/육아,50000005,지프키즈,6050.0,61.6,높음,2.7133,2.94213,3.67767,4.87087,2.86041,3.69401,3.56325,3.43249,2.66426,3.30173,3.87381,3.18731,3.25269,4.10264,3.22,3.12193,3.02386,3.93919,3.61229,3.00751,2.79503,2.59888,2.54985,2.50081,3.95554,2.59888,3.12193,3.48152,2.64792,2.48447
출산/육아,50000005,브라이텍스듀얼픽스아이사이즈,18810.0,48.8,높음,9.59463,12.78195,12.60215,13.97515,9.00621,9.77443,9.3658,9.66001,9.77443,12.81464,13.15789,11.16377,9.59463,8.5322,9.95423,9.28407,13.76266,13.35403,9.75809,8.77737,9.21869,7.86204,8.82641,10.68976,12.91271,9.66001,8.04184,8.23798,7.74762,7.51879
출산/육아,50000005,아워,11250.0,1.0,높음,5.01797,4.65838,5.14874,17.65282,17.63648,13.69728,9.21869,7.17554,5.93331,4.83818,5.41026,5.36122,5.94965,6.22752,5.70447,4.42955,3.69401,4.29879,4.85452,4.64203,4.20071,4.28244,4.00457,4.2334,3.7267,4.72376,4.593,4.96894,4.95259,3.25269
